        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603250600,   3.017,   3.650,   0.700,  -0.067,   3.650,   0.600,   3.550,   0.700,   3.650
202603250606,   3.024,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250612,   3.028,   3.617,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250618,   3.028,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250624,   3.024,   3.607,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250630,   3.016,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250636,   3.004,   3.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250642,   2.988,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250648,   2.967,   3.440,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250654,   2.943,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250700,   2.914,   3.319,   0.700,  -0.295,   3.319,   0.600,   3.219,   0.700,   3.319
202603250706,   2.881,   3.270,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250712,   2.844,   3.250,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250718,   2.803,   3.178,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250724,   2.759,   3.109,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250730,   2.711,   3.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250736,   2.660,   2.968,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250742,   2.606,   2.860,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250748,   2.550,   2.797,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250754,   2.491,   2.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250800,   2.430,   2.620,   0.600,  -0.410,   2.620,   0.600,   2.620,   0.700,   2.720
202603250806,   2.368,   2.538,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250812,   2.304,   2.519,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250818,   2.239,   2.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250824,   2.174,   2.368,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250830,   2.108,   2.328,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250836,   2.042,   2.250,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250842,   1.976,   2.191,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250848,   1.911,   2.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250854,   1.846,   2.020,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250900,   1.782,   1.990,   0.600,  -0.392,   1.990,   0.500,   1.890,   0.600,   1.990
202603250906,   1.719,   1.889,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250912,   1.657,   1.869,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250918,   1.596,   1.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250924,   1.536,   1.758,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250930,   1.477,   1.738,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250936,   1.420,   1.639,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250942,   1.363,   1.590,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250948,   1.307,   1.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603250954,   1.253,   1.420,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251000,   1.199,   1.348,   0.500,  -0.351,   1.348,   0.500,   1.348,   0.600,   1.448
202603251006,   1.146,   1.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251012,   1.094,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251018,   1.043,   1.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251024,   0.992,   1.138,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251030,   0.943,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251036,   0.893,   1.029,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251042,   0.845,   1.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251048,   0.798,   0.970,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251054,   0.751,   0.908,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251100,   0.705,   0.859,   0.500,  -0.346,   0.859,   0.500,   0.859,   0.500,   0.859
202603251106,   0.661,   0.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251112,   0.618,   0.790,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251118,   0.576,   0.741,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251124,   0.536,   0.678,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251130,   0.497,   0.639,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251136,   0.461,   0.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251142,   0.426,   0.570,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251148,   0.394,   0.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251154,   0.365,   0.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251200,   0.338,   0.469,   0.500,  -0.369,   0.469,   0.500,   0.469,   0.500,   0.469
202603251206,   0.314,   0.439,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251212,   0.294,   0.419,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251218,   0.276,   0.370,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251224,   0.262,   0.380,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251230,   0.251,   0.370,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251236,   0.243,   0.370,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251242,   0.239,   0.360,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251248,   0.238,   0.350,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251254,   0.241,   0.370,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251300,   0.247,   0.350,   0.400,  -0.297,   0.350,   0.400,   0.350,   0.500,   0.450
202603251306,   0.257,   0.350,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251312,   0.270,   0.331,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251318,   0.285,   0.360,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251324,   0.304,   0.400,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251330,   0.326,   0.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251336,   0.350,   0.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251342,   0.377,   0.488,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251348,   0.406,   0.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
